label,id_str,flikes_cnt,fretweets_cnt,freplies_cnt,fclear_dull,fwarm_cool,fbrit_contrast,fbrit_mean,fsat_contrast,fsat_mean,ffct15,ffct14,ffct13,ffct12,ffct11,ffct10,ffct9,ffct8,ffct7,ffct6,ffct5,ffct4,ffct3,ffct2,ffct1,fadv_cnt,fdeg_adv,fperiod,f3dots,fqmark,fexclaim,fnegemoji,fposemoji,fnegemo,fposemo,user_id,tdate,ttime,containsText,deg_adv,adv_cnt,containsImage,fct1,fct2,fct3,fct4,fct5,fct6,fct7,fct8,fct9,fct10,fct11,fct12,fct13,fct14,fct15,sat_mean,sat_contrast,brit_mean,brit_contrast,warm_cool,clear_dull,containsSocial,replies_cnt,retweets_cnt,likes_cnt,mentions_cnt,retweet_cnt,reply_cnt,hour0,hour1,hour2,hour3,hour4,hour5,hour6,hour7,hour8,hour9,hour10,hour11,hour12,hour13,hour14,hour15,hour16,hour17,hour18,hour19,hour20,hour21,hour22,hour23,imagetweet_cnt,originalTweet_cnt,query_cnt,sharingtweet_cnt,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,period,comma,colon,semic,qmark,exclaim,dash,quote,apostro,3dots,parenth,posemoji,negemoji,neuemoji,pos,neg,neu,reply_to,rfamily,rfriend,rposemo,raffect,rleisure,rsad,rdeath,rauxverb,ranger,rnegemo,rposemoji,rnegemoji
1,ID904652452330315777,106.549279362774,5257.66768752355,-0.00000378068527425585,0.817665224553823,0.225090826261909,250.342168791274,148.648000983747,245.066612241347,73.6337810696931,146.767028231879,62.6824940078928,59.7878915484549,147.201881021052,62.814868370385,59.1982325018146,147.370967712861,62.0033841311852,58.3588897453345,147.899788290005,58.3238376928274,56.7267531284869,157.826336932869,49.4637000618426,43.7411675215722,0.193089276946939,0.0324077136214982,1.51995953617754,0.0323386048853214,0.0583597740144616,0.146809372758131,0.0162710027974812,0.280469268418367,0.138749272176754,0.38080350113808,AnyBodyCanFly,2017-09-04,10:28:46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,1,0,2,2,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ID904652452330315777,0,0,1,1,0,0,0,1,0,0,0,0
1,ID905554408733364224,105.992371880888,5230.17486550863,0.000577753493043232,0.812238589308953,0.222519923709425,249.034539991107,147.872711411015,243.785868583611,73.2487998566941,145.998305546721,62.3558246014285,59.476146777554,146.432425541206,62.4861701977845,58.8888554146609,146.59957763254,61.6811582272343,58.0524378582889,147.124793714124,58.0192376762164,56.4315373009205,157.001011982582,49.2055046757904,43.5133300211883,0.192054537711979,0.032081184226111,1.51131427485314,0.0329023294338368,0.0568426684424564,0.14725499553933,0.0176236582860403,0.278526492817925,0.138733723443747,0.377930745633509,alyees,2017-09-06,22:12:50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,ID905554408733364224,0,1,0,0,0,0,0,1,0,0,0,0
1,ID905636864136065025,106.549279482755,5257.66769344667,-0.00000378081056140456,0.817665225722951,0.22509082681579,250.342169072993,148.648001150777,245.066612517274,73.6337811526343,146.767028397495,62.6824940782713,59.7878916156179,147.201881186825,62.8148684412005,59.1982325684675,147.370967879051,62.0033842006063,58.3588898113572,147.899788456972,58.3238377584512,56.7267531920889,157.826337110679,49.4637001174688,43.741167570658,0.193089277169865,0.0324077136918465,1.5199595380401,0.0323386047638712,0.0583597743413106,0.146809372662125,0.0162710025060618,0.280469268836924,0.138749272180104,0.380803501756994,adil14384,2017-09-07,03:40:28,1,0,0,1,0,0,243,0,0,249,0,0,242,0,0,244,0,0,241,53.8672821969697,255,210.90769176136362,255,0.1711369366045625,0.5755287685965227,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,2,2,0,0,2,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,1,2,2,2,0,1,1,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ID905636864136065025,0,0,0,1,0,0,0,2,0,1,0,0
1,ID906134967532511232,105.494910469271,5205.61671448039,0.00109721286943809,0.807391210315034,0.220223447446329,247.86649163485,147.180178705299,242.641835564445,72.904912758937,145.311638758178,62.0640249231014,59.1976786318725,145.745104178805,62.1925583102508,58.6125022186567,145.910528175052,61.3933277378745,57.778697617259,146.432524516359,57.7471516310997,56.1678337467576,156.263784834145,48.9748698838427,43.3098126179443,0.191130249823555,0.0317895096136349,1.50359183613194,0.0334058802367793,0.0554875035291247,0.147653051132036,0.0188319270392148,0.276791095244561,0.138719834431798,0.375364637159443,teatattler,2017-09-08,12:39:46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ID906134967532511232,0,0,0,1,0,1,0,1,0,1,0,0
1,ID906465179910598656,83.0264314675723,4096.41650756584,0.0245592580013527,0.588453156840805,0.116500168634689,195.110098168711,115.901055957317,190.970125421537,57.3728134755319,114.297457639365,48.8845203583716,46.6203097389972,114.701358396983,48.9312030058352,46.1306577248711,114.78873077501,48.3930966542256,45.4148705668419,115.165303441033,45.4580384484747,44.2573264571305,122.965980587865,38.5579554078333,34.1176895819175,0.1493836087222,0.0186156538075417,1.15479804389589,0.0561493943626437,-0.00572024784199798,0.16563173956365,0.0734049260198174,0.198409650923216,0.138092519496312,0.259463075713451,PandePaarth,2017-09-09,10:31:54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,1,1,0,0,0,1,0,0,3,3,2,0,0,0,1,1,1,0,1,1,2,2,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ID906465179910598656,0,0,0,0,0,0,0,1,0,0,0,0
1,ID906947113962971137,101.054526101635,4986.40849575808,0.00573395300786268,0.76412307854456,0.199724898089234,237.440389146017,140.998570788136,232.430096089323,69.8353462409101,139.182390534273,59.4593952978388,56.7120474410076,139.610013170996,59.5717527460227,56.1457492548588,139.760012038315,58.8241274428689,55.3352681196647,140.253268694379,55.3184876318983,53.8139925999903,149.683230385372,46.9162034207155,41.4931983544032,0.182879974736676,0.0291859963371712,1.4346606680517,0.0379006190476247,0.0433911821739523,0.151206130406174,0.0296170403328279,0.261300783681819,0.138595859888042,0.352459326942828,teatattler,2017-09-10,18:26:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,7,4,3,2,0,0,1,0,1,1,2,1,1,0,0,3,2,1,0,0,1,4,4,0,0,0,0,4,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,2,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,ID906947113962971137,0,0,2,2,0,0,0,2,0,0,0,0
1,ID906947186738446337,79.6760124896587,3931.01655222078,0.028057833995958,0.555805899797189,0.101033325429339,187.243254050697,111.236825394162,183.265025389133,55.0567225553576,109.672734221413,46.9192399221733,44.744817613886,110.072226402553,46.9537172809932,44.2694098554365,110.147960003298,46.4545488363414,43.5712210351478,110.502847612605,43.6255299806926,42.4812743417769,118.000731482167,37.0046224942397,32.7469931736339,0.143158499376811,0.0166512156939651,1.10278716497534,0.0595408255915214,-0.0148473281296192,0.168312657079905,0.0815426558346596,0.186721691157418,0.137998976543768,0.242180250694048,teatattler,2017-09-10,18:27:14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,10,5,3,0,1,0,2,0,2,1,2,2,3,1,1,3,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,2,0,0,1,0,0,4,1,2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,ID906947186738446337,0,0,3,3,0,0,0,4,0,1,0,0
1,ID907999784006443008,106.549279482755,5257.66769344667,-0.00000378081056140456,0.817665225722951,0.22509082681579,250.342169072993,148.648001150777,245.066612517274,73.6337811526343,146.767028397495,62.6824940782713,59.7878916156179,147.201881186825,62.8148684412005,59.1982325684675,147.370967879051,62.0033842006063,58.3588898113572,147.899788456972,58.3238377584512,56.7267531920889,157.826337110679,49.4637001174688,43.741167570658,0.193089277169865,0.0324077136918465,1.5199595380401,0.0323386047638712,0.0583597743413106,0.146809372662125,0.0162710025060618,0.280469268836924,0.138749272180104,0.380803501756994,Achin1087,2017-09-13,16:09:52,0,0,0,1,90,12,255,105,24,255,95,17,255,95,18,255,101,20,255,49.43912109375,255,191.19052191840277,253,0.21165243596182823,0.8071371089427622,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ID907999784006443008,0,0,0,0,0,0,0,0,0,0,0,0
1,ID908009434168700928,87.4340184427572,4314.00561916077,0.0199567655706542,0.631401703237398,0.136847312412382,205.459191789222,122.0370055251,201.106439348002,60.4197076820173,120.381434250998,51.469911770692,49.0875816584779,120.79113463678,51.5326508790367,48.5791908549033,120.893818211253,50.9433204230153,47.8402525015397,121.298918286587,47.8687639451234,46.5937817549562,129.49793000407,40.601416229663,35.9208860406019,0.157572945951575,0.0211999371165948,1.22322007529235,0.0516878544149011,0.00628672813992398,0.162104903903964,0.062699473306018,0.213785548555664,0.138215578344166,0.282199203628221,ThinkingHawk,2017-09-13,16:48:13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,ID908009434168700928,0,0,0,0,0,0,0,2,0,0,0,0
1,ID908012839155073025,83.0264314675723,4096.41650756584,0.0245592580013527,0.588453156840805,0.116500168634689,195.110098168711,115.901055957317,190.970125421537,57.3728134755319,114.297457639365,48.8845203583716,46.6203097389972,114.701358396983,48.9312030058352,46.1306577248711,114.78873077501,48.3930966542256,45.4148705668419,115.165303441033,45.4580384484747,44.2573264571305,122.965980587865,38.5579554078333,34.1176895819175,0.1493836087222,0.0186156538075417,1.15479804389589,0.0561493943626437,-0.00572024784199798,0.16563173956365,0.0734049260198174,0.198409650923216,0.138092519496312,0.259463075713451,ThinkingHawk,2017-09-13,17:01:45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,2,0,3,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,ID908012839155073025,0,0,1,1,0,0,0,2,0,0,0,0
